mm/dd, 2015:BON:spillpct (%), 2014:BON:spillpct (%), 2013:BON:spillpct (%), 2012:BON:spillpct (%), 2011:BON:spillpct (%), 2010:BON:spillpct (%)
29-May,48.414,43.942,31.48,33.152,56.522,57.915
30-May,57.612,43.525,35.785,31.031,57.895,45.578
31-May,57.045,40.38,35.983,33.938,58.129,46.874
1-Jun,49.702,39.482,39.03,32.564,57.792,46.694
2-Jun,45.584,41.18,45.198,33.869,57.698,42.446
3-Jun,55.736,36.563,37.082,32.782,57.245,34.667
4-Jun,54.407,35.434,40.54,31.438,57.22,30.168
5-Jun,53.664,34.146,38.46,31.636,57.688,31.918
6-Jun,53.47,32.288,36.814,31.13,58.891,36.404
7-Jun,56.018,32.125,39.171,35.288,58.307,36.301
8-Jun,52.941,31.857,38.622,33.409,58.506,42.096
9-Jun,50.558,34.592,39.084,38.228,59.213,45.117
10-Jun,57.464,33.535,38.111,36.411,57.299,46.849
11-Jun,59.547,35.187,44.76,39.113,57.175,48.819
12-Jun,63.532,41.015,40.56,42.572,56.89,49.062
13-Jun,65.352,40.133,38.754,44.604,56.257,42.192
14-Jun,67.275,40.916,40.735,39.533,56.007,35.671
15-Jun,57.366,44.75,40.944,38.982,58.625,35.614
16-Jun,55.369,47.124,44.718,34.948,60.506,43.757
17-Jun,60.076,41.788,44.455,35.846,60.079,48.838
18-Jun,65.913,34.28,40.869,42.242,59.034,47.893
19-Jun,65.091,38.05,46.66,45.318,56.353,44.033
20-Jun,63.022,40.808,45.254,47.126,58.578,35.352
21-Jun,62.245,35.685,41.556,45.108,58.854,35.854
